phone,email,ok,vk,vid,gaid,idfa
,,,78315523,,,
,,,279740427,,,
,,,496173073,,,
,,,153190424,,,
,,,8912924,,,
,,,14614558,,,
,,,541098020,,,
,,,150437927,,,
,,,510394418,,,
,,,146669620,,,
,,,414515253,,,
,,,193396790,,,
,,,68124728,,,
,,,67600440,,,
,,,34439228,,,
,,,151453757,,,
,,,331317310,,,
,,,29196350,,,
,,,143065157,,,
,,,306217029,,,
,,,218628173,,,
,,,691372112,,,
,,,206995537,,,
,,,502759508,,,
,,,553943133,,,
,,,738820192,,,
,,,142508135,,,
,,,20152424,,,
,,,533299305,,,
,,,139067498,,,
,,,559448170,,,
,,,338395249,,,
,,,4161668,,,
,,,156598412,,,
,,,482017422,,,
,,,14254223,,,
,,,105382032,,,
,,,118718611,,,
,,,199884949,,,
,,,177668245,,,
,,,18383001,,,
,,,363823258,,,
,,,195264674,,,
,,,139657378,,,
,,,90079396,,,
,,,569606308,,,
,,,59474094,,,
,,,113508527,,,
,,,97026226,,,
,,,302874812,,,
,,,7962818,,,
,,,601587907,,,
,,,322437317,,,
,,,28508363,,,
,,,181502156,,,
,,,296714446,,,
,,,261488849,,,
,,,609550552,,,
,,,316113121,,,
,,,146669793,,,
,,,368443619,,,
,,,15335652,,,
,,,89161965,,,
,,,411500783,,,
,,,231604466,,,
,,,743342323,,,
,,,143360243,,,
,,,117899511,,,
,,,288981242,,,
,,,433619195,,,
,,,248807680,,,
,,,190939401,,,
,,,139264266,,,
,,,87818512,,,
,,,512459026,,,
,,,137003287,,,
,,,415924508,,,
,,,387776797,,,
,,,27623710,,,
,,,294322467,,,
,,,807534892,,,
,,,180551981,,,
,,,676135217,,,
,,,770408753,,,
,,,354484533,,,
,,,162496829,,,
,,,332562755,,,
,,,20480325,,,
,,,376144198,,,
,,,227868999,,,
,,,450855240,,,
,,,872087877,,,
,,,820117836,,,
,,,14385487,,,
,,,765985109,,,
,,,137134422,,,
,,,3834210,,,
,,,181469540,,,
